pessoa
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
gestao
PKgestao,dtFim,,,,,,,,,,,,,,
1,11/11/2018,,,,,,,,,,,,,,
mensagem
PKmensagem, Titulo, Descricao,,,,,,,,,,,,
1, Esse é o título da mensagem - parte 1, Essa é a descrição da mensagem - parte 1,,,,,,,,,,,,
PKmensagem, Titulo, Descricao,,,,,,,,,,,,
2, Esse é o título da mensagem - parte 2, Essa é a descrição da mensagem - parte 2,,,,,,,,,,,,
PKmensagem, Titulo, Descricao,,,,,,,,,,,,
3, Esse é o título da mensagem - parte 3, Essa é a descrição da mensagem - parte 3,,,,,,,,,,,,
PKmensagem, Titulo, Descricao,,,,,,,,,,,,
4, Esse é o título da mensagem - parte 4, Essa é a descrição da mensagem - parte 4,,,,,,,,,,,,
PKmensagem, Titulo, Descricao,,,,,,,,,,,,
5, Esse é o título da mensagem - parte 5, Essa é a descrição da mensagem - parte 5,,,,,,,,,,,,
recebedora
PKrecebedora,dtCienciaReeb,,,,,,,,,,,,
1, 22/12/2019,,,,,,,,,,,,
